,,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA,xG+xA,npxG,npxG+xA,Matches
212,Roberto Soriano\Roberto-Soriano,it ITA,MF,Bologna,it Serie A,28,1991,18,18,1589,3,2,0,0,2,1,0.17,0.11,0.28,0.17,0.28,3.4,3.4,3.2,0.20,0.18,0.37,0.20,0.37,Matches
213,Hwang Ui-jo\Hwang-Ui-jo,kr KOR,FWMF,Bordeaux,fr Ligue 1,26,1992,24,19,1633,6,2,0,0,2,0,0.33,0.11,0.44,0.33,0.44,3.7,3.7,0.9,0.20,0.05,0.25,0.20,0.25,Matches
214,Christopher Antwi-Adjei\Christopher-Antwi-Adjei,gh GHA,MFFW,Paderborn 07,de Bundesliga,25,1994,29,23,2038,1,2,0,0,2,0,0.04,0.09,0.13,0.04,0.13,4.2,4.2,2.9,0.19,0.13,0.31,0.19,0.31,Matches
215,Josip Brekalo\Josip-Brekalo,hr CRO,FWMF,Wolfsburg,de Bundesliga,21,1998,25,15,1345,3,4,0,0,0,0,0.20,0.27,0.47,0.20,0.47,2.9,2.9,4.8,0.19,0.32,0.52,0.19,0.52,Matches
216,Hakan Çalhanoğlu\Hakan-Calhanoglu,tr TUR,MFFW,Milan,it Serie A,25,1994,23,23,1890,3,1,0,0,6,0,0.14,0.05,0.19,0.14,0.19,4.0,4.0,3.2,0.19,0.15,0.34,0.19,0.34,Matches
217,Samuel Chukwueze\Samuel-Chukwueze,ng NGA,MFFW,Villarreal,es La Liga,20,1999,25,13,1409,3,1,0,0,1,0,0.19,0.06,0.26,0.19,0.26,3.0,3.0,3.1,0.19,0.20,0.39,0.19,0.39,Matches
218,Alexis Claude-Maurice\Alexis-Claude-Maurice,fr FRA,MFFW,Nice,fr Ligue 1,21,1998,22,19,1629,1,1,0,0,2,0,0.06,0.06,0.11,0.06,0.11,3.4,3.4,0.9,0.19,0.05,0.24,0.19,0.24,Matches
219,Raphaël Guerreiro\Raphael-Guerreiro,pt POR,DF,Dortmund,de Bundesliga,25,1993,24,21,1941,8,2,0,0,2,0,0.37,0.09,0.46,0.37,0.46,4.0,4.0,1.7,0.19,0.08,0.27,0.19,0.27,Matches
220,Jonathan Ikone\Jonathan-Ikone,fr FRA,MFFW,Lille,fr Ligue 1,21,1998,28,26,2057,3,6,1,1,6,0,0.13,0.26,0.39,0.09,0.35,4.3,3.6,4.3,0.19,0.19,0.38,0.16,0.35,Matches
221,Marcus Ingvartsen\Marcus-Ingvartsen,dk DEN,FWMF,Union Berlin,de Bundesliga,23,1996,24,18,1496,5,2,1,1,4,0,0.30,0.12,0.42,0.24,0.36,3.2,2.4,1.2,0.19,0.07,0.26,0.15,0.22,Matches
222,Justin Kluivert\Justin-Kluivert,nl NED,FW,Roma,it Serie A,20,1999,18,17,1361,4,1,0,0,6,1,0.26,0.07,0.33,0.26,0.33,2.8,2.8,1.2,0.19,0.08,0.27,0.19,0.27,Matches
223,Juraj Kucka\Juraj-Kucka,sk SVK,MFFW,Parma,it Serie A,32,1987,18,15,1350,3,2,0,0,2,0,0.20,0.13,0.33,0.20,0.33,2.8,2.8,1.7,0.19,0.11,0.30,0.19,0.30,Matches
224,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,eng Premier League,25,1994,27,23,2068,4,3,0,0,4,0,0.17,0.13,0.30,0.17,0.30,4.3,4.3,2.6,0.19,0.11,0.30,0.19,0.30,Matches
225,Lorenzo Pellegrini\Lorenzo-Pellegrini,it ITA,MF,Roma,it Serie A,23,1996,18,18,1502,1,8,0,0,6,1,0.06,0.48,0.54,0.06,0.54,3.2,3.2,5.8,0.19,0.35,0.54,0.19,0.54,Matches
226,Trézéguet\Trezeguet,eg EGY,FWMF,Aston Villa,eng Premier League,24,1994,24,13,1326,3,1,0,0,4,1,0.20,0.07,0.27,0.20,0.27,2.8,2.8,0.7,0.19,0.05,0.24,0.19,0.24,Matches
227,Mattia Zaccagni\Mattia-Zaccagni,it ITA,FWMF,Hellas Verona,it Serie A,24,1995,23,20,1560,1,4,0,0,5,0,0.06,0.23,0.29,0.06,0.29,3.4,3.4,2.5,0.19,0.14,0.34,0.19,0.34,Matches
228,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,21,1998,25,23,1956,3,4,0,0,3,0,0.14,0.18,0.32,0.14,0.32,3.9,3.9,3.1,0.18,0.14,0.32,0.18,0.32,Matches
229,Julian Brandt\Julian-Brandt,de GER,MFFW,Dortmund,de Bundesliga,23,1996,28,20,1776,3,5,0,0,0,0,0.15,0.25,0.41,0.15,0.41,3.5,3.5,4.7,0.18,0.24,0.42,0.18,0.42,Matches
230,Maxwel Cornet\Maxwel-Cornet,ci CIV,FWDF,Lyon,fr Ligue 1,22,1996,22,14,1330,4,3,0,0,1,0,0.27,0.20,0.47,0.27,0.47,2.7,2.7,2.5,0.18,0.17,0.35,0.18,0.35,Matches
231,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Leverkusen,de Bundesliga,26,1993,20,16,1359,1,5,0,0,4,1,0.07,0.33,0.40,0.07,0.40,2.7,2.7,3.5,0.18,0.23,0.41,0.18,0.41,Matches
232,Filip Kostić\Filip-Kostic,rs SRB,DFMF,Eint Frankfurt,de Bundesliga,26,1992,28,28,2508,4,10,0,0,3,0,0.14,0.36,0.50,0.14,0.50,5.0,5.0,8.1,0.18,0.29,0.47,0.18,0.47,Matches
233,Rolando Mandragora\Rolando-Mandragora,it ITA,MF,Udinese,it Serie A,22,1997,25,23,1997,0,2,0,0,2,0,0.00,0.09,0.09,0.00,0.09,4.0,4.0,2.9,0.18,0.13,0.31,0.18,0.31,Matches
234,Sergej Milinković-Savić\Sergej-Milinkovic-Savic,rs SRB,MF,Lazio,it Serie A,24,1995,25,24,2045,4,4,0,0,6,0,0.18,0.18,0.35,0.18,0.35,4.1,4.1,3.0,0.18,0.13,0.31,0.18,0.31,Matches
235,Opa Nguette\Opa-Nguette,sn SEN,FW,Metz,fr Ligue 1,25,1994,26,23,1826,5,2,0,0,1,0,0.25,0.10,0.35,0.25,0.35,3.6,3.6,1.5,0.18,0.07,0.25,0.18,0.25,Matches
236,Óscar Plano\Oscar-Plano,es ESP,MF,Valladolid,es La Liga,28,1991,27,22,1962,3,2,0,0,3,0,0.14,0.09,0.23,0.14,0.23,3.9,3.9,2.6,0.18,0.12,0.30,0.18,0.30,Matches
237,Erick Pulgar\Erick-Pulgar,cl CHI,MF,Fiorentina,it Serie A,25,1994,25,23,2086,4,3,4,4,7,0,0.17,0.13,0.30,0.00,0.13,4.2,1.2,4.9,0.18,0.21,0.39,0.05,0.26,Matches
238,Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,eng Premier League,25,1994,23,23,1954,3,1,0,0,2,0,0.14,0.05,0.18,0.14,0.18,3.9,3.9,2.7,0.18,0.13,0.31,0.18,0.31,Matches
239,Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,es ESP,MFFW,Leganés,es La Liga,21,1998,26,20,1665,7,2,1,1,4,1,0.38,0.11,0.49,0.32,0.43,3.3,2.5,2.4,0.18,0.13,0.31,0.13,0.27,Matches
240,Moussa Doumbia\Moussa-Doumbia,ml MLI,FWMF,Reims,fr Ligue 1,24,1994,26,22,1718,2,1,1,1,8,1,0.10,0.05,0.16,0.05,0.10,3.2,2.4,1.9,0.17,0.10,0.27,0.13,0.23,Matches
241,Marko Grujić\Marko-Grujic,rs SRB,MF,Hertha BSC,de Bundesliga,23,1996,24,24,2021,4,1,0,0,8,0,0.18,0.04,0.22,0.18,0.22,3.7,3.7,0.6,0.17,0.03,0.19,0.17,0.19,Matches
242,Dejan Kulusekvski\Dejan-Kulusekvski,se SWE,FWMF,Parma,it Serie A,19,2000,23,22,1902,5,7,0,0,2,0,0.24,0.33,0.57,0.24,0.57,3.5,3.5,5.5,0.17,0.26,0.42,0.17,0.42,Matches
243,James Maddison\James-Maddison,eng ENG,MF,Leicester City,eng Premier League,22,1996,28,27,2399,6,3,0,0,4,0,0.23,0.11,0.34,0.23,0.34,4.4,4.4,6.7,0.17,0.25,0.42,0.17,0.42,Matches
244,Dani Rodríguez\Dani-Rodriguez,es ESP,MFFW,Mallorca,es La Liga,31,1988,27,26,2195,5,1,1,1,4,0,0.21,0.04,0.25,0.16,0.21,4.2,3.4,1.3,0.17,0.05,0.22,0.14,0.19,Matches
245,Willian\Willian,br BRA,FW,Chelsea,eng Premier League,30,1988,28,21,1928,5,5,1,1,3,0,0.23,0.23,0.47,0.19,0.42,3.6,2.9,4.6,0.17,0.21,0.38,0.13,0.35,Matches
246,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,eng Premier League,26,1993,22,19,1407,1,4,0,0,1,0,0.06,0.26,0.32,0.06,0.32,2.5,2.5,2.9,0.16,0.18,0.34,0.16,0.34,Matches
247,José Callejón\Jose-Callejon,es ESP,MFFW,Napoli,it Serie A,32,1987,23,19,1650,2,6,0,0,2,0,0.11,0.33,0.44,0.11,0.44,2.9,2.9,5.5,0.16,0.30,0.46,0.16,0.46,Matches
248,Sergio Canales\Sergio-Canales,es ESP,MF,Betis,es La Liga,28,1991,26,26,2291,4,4,2,2,4,0,0.16,0.16,0.31,0.08,0.24,4.2,2.6,3.5,0.16,0.14,0.30,0.10,0.24,Matches
249,Pablo Fornals\Pablo-Fornals,es ESP,MF,West Ham,eng Premier League,23,1996,27,15,1465,2,5,0,0,2,0,0.12,0.31,0.43,0.12,0.43,2.5,2.5,2.0,0.16,0.12,0.28,0.16,0.28,Matches
250,Samuel Grandsir\Samuel-Grandsir,fr FRA,FWMF,Brest,fr Ligue 1,22,1996,24,17,1492,3,1,0,0,0,0,0.18,0.06,0.24,0.18,0.24,2.6,2.6,1.7,0.16,0.10,0.26,0.16,0.26,Matches
251,Joelinton\Joelinton,br BRA,FW,Newcastle Utd,eng Premier League,22,1996,29,27,2223,1,2,0,0,6,0,0.04,0.08,0.12,0.04,0.12,3.9,3.9,2.2,0.16,0.09,0.25,0.16,0.25,Matches
252,Jorginho\Jorginho,it ITA,MF,Chelsea,eng Premier League,27,1991,26,23,2011,4,2,3,3,10,0,0.18,0.09,0.27,0.04,0.13,3.5,1.2,2.2,0.16,0.10,0.26,0.05,0.15,Matches
253,Samuel Kalu\Samuel-Kalu,ng NGA,FWDF,Bordeaux,fr Ligue 1,21,1997,20,15,1357,1,1,0,0,4,0,0.07,0.07,0.13,0.07,0.13,2.4,2.4,1.8,0.16,0.12,0.27,0.16,0.27,Matches
254,José Luis Morales\Jose-Luis-Morales,es ESP,FWMF,Levante,es La Liga,32,1987,27,22,1957,2,2,0,0,2,0,0.09,0.09,0.18,0.09,0.18,3.5,3.5,3.7,0.16,0.17,0.33,0.16,0.33,Matches
255,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,eng Premier League,24,1994,18,18,1537,3,2,0,0,2,0,0.18,0.12,0.29,0.18,0.29,2.7,2.7,1.9,0.16,0.11,0.27,0.16,0.27,Matches
256,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,eng Premier League,22,1997,18,15,1268,2,1,0,0,0,0,0.14,0.07,0.21,0.14,0.21,2.3,2.3,2.5,0.16,0.18,0.34,0.16,0.34,Matches
257,Téji Savanier\Teji-Savanier,fr FRA,MF,Montpellier,fr Ligue 1,27,1991,19,18,1524,6,2,2,2,5,0,0.35,0.12,0.47,0.24,0.35,2.7,1.2,2.1,0.16,0.12,0.28,0.07,0.19,Matches
258,Suat Serdar\Suat-Serdar,de GER,MF,Schalke 04,de Bundesliga,22,1997,20,19,1599,7,0,0,0,2,0,0.39,0.00,0.39,0.39,0.39,2.9,2.9,1.0,0.16,0.06,0.22,0.16,0.22,Matches
259,Roberto Soldado\Roberto-Soldado,es ESP,FW,Granada,es La Liga,34,1985,23,22,1751,2,4,1,1,11,0,0.10,0.21,0.31,0.05,0.26,3.0,2.3,3.3,0.16,0.17,0.32,0.12,0.28,Matches
260,Ferrán Torres\Ferran-Torres,es ESP,MFFW,Valencia,es La Liga,19,2000,25,20,1771,4,4,0,0,5,0,0.20,0.20,0.41,0.20,0.41,3.2,3.2,3.6,0.16,0.18,0.35,0.16,0.35,Matches
261,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,eng Premier League,24,1994,23,16,1444,3,3,0,0,0,0,0.19,0.19,0.37,0.19,0.37,2.6,2.6,3.3,0.16,0.20,0.37,0.16,0.37,Matches
262,Simone Verdi\Simone-Verdi,it ITA,MFFW,Torino,it Serie A,27,1992,22,17,1313,1,3,0,0,2,0,0.07,0.21,0.27,0.07,0.27,2.3,2.3,1.6,0.16,0.11,0.27,0.16,0.27,Matches
263,Ihlas Bebou\Ihlas-Bebou,tg TOG,FWMF,Hoffenheim,de Bundesliga,25,1994,27,18,1827,4,0,0,0,1,0,0.20,0.00,0.20,0.20,0.20,3.0,3.0,2.5,0.15,0.12,0.27,0.15,0.27,Matches
264,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,FWMF,Werder Bremen,de Bundesliga,25,1993,24,21,1764,4,2,0,0,5,0,0.20,0.10,0.31,0.20,0.31,3.0,3.0,3.2,0.15,0.16,0.32,0.15,0.32,Matches
265,Javairô Dilrosun\Javairo-Dilrosun,nl NED,MFFW,Hertha BSC,de Bundesliga,21,1998,22,15,1280,4,2,0,0,2,0,0.28,0.14,0.42,0.28,0.42,2.1,2.1,1.5,0.15,0.11,0.26,0.15,0.26,Matches
266,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,eng Premier League,26,1993,28,28,2443,4,2,0,0,8,0,0.15,0.07,0.22,0.15,0.22,4.1,4.1,2.6,0.15,0.10,0.25,0.15,0.25,Matches
267,Moi Gómez\Moi-Gomez,es ESP,FWMF,Villarreal,es La Liga,25,1994,26,21,1760,4,3,0,0,1,0,0.20,0.15,0.36,0.20,0.36,2.9,2.9,2.7,0.15,0.14,0.29,0.15,0.29,Matches
268,Takashi Inui\Takashi-Inui,jp JPN,FWMF,Eibar,es La Liga,31,1988,20,18,1470,1,3,0,0,2,0,0.06,0.18,0.24,0.06,0.24,2.5,2.5,1.5,0.15,0.09,0.24,0.15,0.24,Matches
269,Florian Kainz\Florian-Kainz,at AUT,FWMF,Köln,de Bundesliga,26,1992,24,13,1312,4,6,0,0,4,0,0.27,0.41,0.69,0.27,0.69,2.2,2.2,6.4,0.15,0.44,0.59,0.15,0.59,Matches
270,Gaël Kakuta\Gael-Kakuta,cd COD,MFFW,Amiens,fr Ligue 1,28,1991,24,23,2001,2,5,0,0,4,0,0.09,0.22,0.31,0.09,0.31,3.3,3.3,2.4,0.15,0.11,0.25,0.15,0.25,Matches
271,Pierre Kunde\Pierre-Kunde,cm CMR,MF,Mainz 05,de Bundesliga,24,1995,24,19,1611,3,0,0,0,6,0,0.17,0.00,0.17,0.17,0.17,2.6,2.6,2.0,0.15,0.11,0.26,0.15,0.26,Matches
272,Florent Mollet\Florent-Mollet,fr FRA,MF,Montpellier,fr Ligue 1,27,1991,25,19,1684,6,3,0,0,5,0,0.32,0.16,0.48,0.32,0.48,2.7,2.7,4.0,0.15,0.21,0.36,0.15,0.36,Matches
273,Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,eng Premier League,31,1988,19,15,1416,2,0,0,0,3,0,0.13,0.00,0.13,0.13,0.13,2.3,2.3,0.2,0.15,0.01,0.16,0.15,0.16,Matches
274,Roberto Pereyra\Roberto-Pereyra,ar ARG,FWMF,Watford,eng Premier League,28,1991,23,13,1326,3,0,1,1,3,0,0.20,0.00,0.20,0.14,0.14,2.2,1.5,1.8,0.15,0.12,0.27,0.10,0.22,Matches
275,Matteo Pessina\Matteo-Pessina,it ITA,MFFW,Hellas Verona,it Serie A,22,1997,24,18,1717,3,0,0,0,4,0,0.16,0.00,0.16,0.16,0.16,2.8,2.8,1.0,0.15,0.05,0.20,0.15,0.20,Matches
276,Salva Sevilla\Salva-Sevilla,es ESP,MF,Mallorca,es La Liga,35,1984,24,24,1847,3,3,2,3,9,1,0.15,0.15,0.29,0.05,0.19,3.0,0.7,3.1,0.15,0.15,0.30,0.04,0.19,Matches
277,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,eng Premier League,31,1987,24,17,1509,5,5,0,0,4,0,0.30,0.30,0.60,0.30,0.60,2.5,2.5,2.8,0.15,0.17,0.32,0.15,0.32,Matches
278,Erik Thommy\Erik-Thommy,de GER,FWMF,Düsseldorf,de Bundesliga,24,1994,29,21,1891,6,4,0,0,3,0,0.29,0.19,0.48,0.29,0.48,3.2,3.2,3.6,0.15,0.17,0.32,0.15,0.32,Matches
279,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,eng Premier League,24,1994,29,29,2610,4,3,1,2,7,0,0.14,0.10,0.24,0.10,0.21,4.4,2.8,3.9,0.15,0.13,0.29,0.09,0.23,Matches
280,Mattia Bani\Mattia-Bani,it ITA,DF,Bologna,it Serie A,25,1993,22,22,1868,4,0,0,0,13,1,0.19,0.00,0.19,0.19,0.19,2.9,2.9,0.1,0.14,0.00,0.14,0.14,0.14,Matches
281,Ludovic Blas\Ludovic-Blas,fr FRA,FWMF,Nantes,fr Ligue 1,21,1997,24,22,1845,5,1,0,0,0,0,0.24,0.05,0.29,0.24,0.29,2.9,2.9,2.3,0.14,0.11,0.25,0.14,0.25,Matches
282,Rodrigo De Paul\Rodrigo-De-Paul,ar ARG,MF,Udinese,it Serie A,25,1994,23,22,1832,5,2,0,0,4,1,0.25,0.10,0.34,0.25,0.34,2.8,2.8,4.9,0.14,0.24,0.38,0.14,0.38,Matches
283,Dominick Drexler\Dominick-Drexler,de GER,MFFW,Köln,de Bundesliga,29,1990,23,15,1358,2,4,0,0,5,0,0.13,0.27,0.40,0.13,0.40,2.1,2.1,3.2,0.14,0.21,0.35,0.14,0.35,Matches
284,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,es La Liga,29,1990,20,17,1441,1,3,0,0,4,0,0.06,0.19,0.25,0.06,0.25,2.3,2.3,0.6,0.14,0.04,0.18,0.14,0.18,Matches
285,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,eng Premier League,27,1991,25,25,2188,5,2,0,0,7,0,0.21,0.08,0.29,0.21,0.29,3.4,3.4,3.2,0.14,0.13,0.27,0.14,0.27,Matches
286,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,eng Premier League,25,1994,28,21,2067,1,4,0,0,2,0,0.04,0.17,0.22,0.04,0.22,3.3,3.3,4.0,0.14,0.18,0.32,0.14,0.32,Matches
287,Amine Harit\Amine-Harit,ma MAR,MFFW,Schalke 04,de Bundesliga,22,1997,25,24,2102,6,4,1,1,3,0,0.26,0.17,0.43,0.21,0.39,3.2,2.4,3.8,0.14,0.16,0.30,0.10,0.27,Matches
288,Martin Hinteregger\Martin-Hinteregger,at AUT,DF,Eint Frankfurt,de Bundesliga,26,1992,27,27,2429,8,1,0,0,7,0,0.30,0.04,0.33,0.30,0.33,3.8,3.8,0.6,0.14,0.02,0.16,0.14,0.16,Matches
289,Will Hughes\Will-Hughes,eng ENG,MF,Watford,eng Premier League,24,1995,21,18,1510,1,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,2.4,2.4,0.8,0.14,0.05,0.19,0.14,0.19,Matches
290,Pierre Lees-Melou\Pierre-Lees-Melou,fr FRA,MF,Nice,fr Ligue 1,26,1993,26,25,2252,5,6,0,0,5,0,0.20,0.24,0.44,0.20,0.44,3.6,3.6,4.4,0.14,0.18,0.32,0.14,0.32,Matches
291,Philipp Max\Philipp-Max,de GER,DF,Augsburg,de Bundesliga,25,1993,26,26,2264,7,5,1,1,4,0,0.28,0.20,0.48,0.24,0.44,3.5,2.7,4.4,0.14,0.17,0.31,0.11,0.28,Matches
292,Andreas Pereira\Andreas-Pereira,br BRA,MFFW,Manchester Utd,eng Premier League,23,1996,23,18,1446,1,3,0,0,3,0,0.06,0.19,0.25,0.06,0.25,2.3,2.3,3.6,0.14,0.22,0.37,0.14,0.37,Matches
293,Valentin Rongier\Valentin-Rongier,fr FRA,MF,Marseille,fr Ligue 1,24,1994,23,20,1790,0,2,0,1,3,0,0.00,0.10,0.10,0.00,0.10,2.7,1.9,1.5,0.14,0.07,0.21,0.10,0.17,Matches
294,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,eng Premier League,29,1989,26,23,1994,1,2,0,0,3,0,0.05,0.09,0.14,0.05,0.14,3.1,3.1,3.5,0.14,0.16,0.30,0.14,0.30,Matches
295,Denis Suárez\Denis-Suarez,es ESP,MFFW,Celta Vigo,es La Liga,25,1994,20,16,1319,1,3,0,1,2,0,0.07,0.20,0.27,0.07,0.27,2.0,1.3,3.3,0.14,0.22,0.36,0.09,0.31,Matches
296,Wilfried Zaha\Wilfried-Zaha,ci CIV,MFFW,Crystal Palace,eng Premier League,26,1992,29,28,2546,3,3,0,0,4,0,0.11,0.11,0.21,0.11,0.21,4.0,4.0,2.3,0.14,0.08,0.22,0.14,0.22,Matches
297,Éver Banega\Ever-Banega,ar ARG,MF,Sevilla,es La Liga,31,1988,23,22,1848,2,6,2,2,6,0,0.10,0.29,0.39,0.00,0.29,2.6,1.0,4.0,0.13,0.20,0.32,0.05,0.25,Matches
298,Marius Bülter\Marius-Bulter,de GER,FWMF,Union Berlin,de Bundesliga,26,1993,28,24,2000,7,0,0,0,1,0,0.32,0.00,0.32,0.32,0.32,3.0,3.0,2.6,0.13,0.12,0.25,0.13,0.25,Matches
299,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,de Bundesliga,28,1990,23,20,1830,3,4,0,0,7,1,0.15,0.20,0.34,0.15,0.34,2.7,2.7,3.5,0.13,0.17,0.31,0.13,0.31,Matches
300,Bafodé Diakité\Bafode-Diakite,fr FRA,DF,Toulouse,fr Ligue 1,18,2001,16,16,1366,2,0,0,0,1,1,0.13,0.00,0.13,0.13,0.13,2.0,2.0,0.0,0.13,0.00,0.13,0.13,0.13,Matches
301,Filippo Falco\Filippo-Falco,it ITA,FWMF,Lecce,it Serie A,27,1992,19,15,1365,3,3,0,0,0,0,0.20,0.20,0.40,0.20,0.40,2.0,2.0,2.9,0.13,0.19,0.33,0.13,0.33,Matches
302,Davide Faraoni\Davide-Faraoni,it ITA,DF,Hellas Verona,it Serie A,27,1991,24,24,2160,3,3,0,0,4,0,0.12,0.12,0.25,0.12,0.25,3.1,3.1,2.0,0.13,0.08,0.21,0.13,0.21,Matches
303,Zinedine Ferhat\Zinedine-Ferhat,dz ALG,FWMF,Nîmes,fr Ligue 1,26,1993,26,25,2246,3,4,0,0,1,0,0.12,0.16,0.28,0.12,0.28,3.3,3.3,4.8,0.13,0.19,0.33,0.13,0.33,Matches
304,Aleksandr Golovin\Aleksandr-Golovin,ru RUS,MF,Monaco,fr Ligue 1,23,1996,25,24,2061,3,4,0,0,6,1,0.13,0.17,0.31,0.13,0.31,3.0,3.0,4.6,0.13,0.20,0.33,0.13,0.33,Matches
305,Achraf Hakimi\Achraf-Hakimi,ma MAR,DFFW,Dortmund,de Bundesliga,20,1998,29,26,2400,5,10,0,0,3,0,0.19,0.37,0.56,0.19,0.56,3.3,3.3,4.6,0.13,0.17,0.30,0.13,0.30,Matches
306,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,eng Premier League,21,1997,27,25,2167,3,6,0,0,3,0,0.12,0.25,0.37,0.12,0.37,3.1,3.1,4.0,0.13,0.16,0.29,0.13,0.29,Matches
307,Jasmin Kurtić\Jasmin-Kurtic,si SVN,MF,SPAL,it Serie A,30,1989,16,16,1409,2,0,0,0,5,0,0.13,0.00,0.13,0.13,0.13,2.0,2.0,2.1,0.13,0.13,0.26,0.13,0.26,Matches
308,Kenny Lala\Kenny-Lala,fr FRA,DF,Strasbourg,fr Ligue 1,27,1991,25,22,2043,2,1,2,2,1,0,0.09,0.04,0.13,0.00,0.04,2.9,1.3,2.7,0.13,0.12,0.25,0.06,0.18,Matches
309,Mathias Pereira Lage\Mathias-Pereira-Lage,pt POR,MF,Angers,fr Ligue 1,22,1996,25,17,1542,1,3,0,0,2,0,0.06,0.18,0.23,0.06,0.23,2.2,2.2,2.6,0.13,0.15,0.28,0.13,0.28,Matches
310,Morgan Sanson\Morgan-Sanson,fr FRA,MF,Marseille,fr Ligue 1,24,1994,27,26,2173,5,4,0,0,5,0,0.21,0.17,0.37,0.21,0.37,3.2,3.2,3.3,0.13,0.14,0.27,0.13,0.27,Matches
311,Federico Valverde\Federico-Valverde,uy URU,MF,Real Madrid,es La Liga,21,1998,22,14,1267,2,4,0,0,1,0,0.14,0.28,0.43,0.14,0.43,1.8,1.8,3.1,0.13,0.22,0.34,0.13,0.34,Matches
312,Martin Ødegaard\Martin-Odegaard,no NOR,MF,Real Sociedad,es La Liga,20,1998,23,22,2013,4,5,0,0,3,0,0.18,0.22,0.40,0.18,0.40,2.8,2.8,5.4,0.13,0.24,0.37,0.13,0.37,Matches
313,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,23,20,1754,3,0,0,0,7,0,0.15,0.00,0.15,0.15,0.15,2.4,2.4,1.0,0.12,0.05,0.18,0.12,0.18,Matches
314,Nadiem Amiri\Nadiem-Amiri,de GER,MFDF,Leverkusen,de Bundesliga,22,1996,25,19,1658,1,2,0,0,2,0,0.05,0.11,0.16,0.05,0.16,2.3,2.3,4.3,0.12,0.23,0.36,0.12,0.36,Matches
315,Enis Bardhi\Enis-Bardhi,mk MKD,MF,Levante,es La Liga,24,1995,21,15,1449,2,2,0,0,4,0,0.12,0.12,0.25,0.12,0.25,1.9,1.9,1.0,0.12,0.06,0.18,0.12,0.18,Matches
316,Sebastiaan Bornauw\Sebastiaan-Bornauw,be BEL,DF,Köln,de Bundesliga,20,1999,24,24,2087,5,0,0,0,5,1,0.22,0.00,0.22,0.22,0.22,2.8,2.8,0.3,0.12,0.01,0.13,0.12,0.13,Matches
317,Marcelo Brozović\Marcelo-Brozovic,hr CRO,MF,Inter,it Serie A,26,1992,23,22,1990,3,5,0,0,6,0,0.14,0.23,0.36,0.14,0.36,2.6,2.6,2.1,0.12,0.10,0.21,0.12,0.21,Matches
318,Yoann Court\Yoann-Court,fr FRA,FWMF,Brest,fr Ligue 1,29,1990,23,18,1465,3,7,0,0,6,0,0.18,0.43,0.61,0.18,0.61,2.0,2.0,2.2,0.12,0.13,0.26,0.12,0.26,Matches
319,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,eng Premier League,27,1991,27,27,2430,2,3,0,0,9,0,0.07,0.11,0.19,0.07,0.19,3.2,3.2,0.9,0.12,0.03,0.15,0.12,0.15,Matches
320,Valère Germain\Valere-Germain,fr FRA,FW,Marseille,fr Ligue 1,29,1990,25,14,1350,2,4,0,0,1,0,0.13,0.27,0.40,0.13,0.40,1.8,1.8,1.6,0.12,0.11,0.23,0.12,0.23,Matches
321,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,eng Premier League,22,1996,22,19,1734,0,3,0,0,4,0,0.00,0.16,0.16,0.00,0.16,2.2,2.2,0.5,0.12,0.03,0.14,0.12,0.14,Matches
